MEETPUNT_IDENTIFICATIE;LOCATIE_CODE;GROOTHEID_OMSCHRIJVING;GROOTHEID_ CODE;PARAMETER_OMSCHRIJVING;PARAMETER_ CODE;CAS_NR;EENHEID_CODE;WAARDEBEPALINGSMETHODE_OMSCHRIJVING;WAARNEMINGDATUM;NUMERIEKEWAARDE;ALFANUMERIEKEWAARDE;KWALITEITSOORDEEL_CODE;BEMONSTERINGSAPPARAAT_OMSCHRIJVING
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;15-2-2012;5120;+.5120E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;11-4-2012;5730;+.5730E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;6-6-2012;9180;+.9180E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;1-8-2012;4230;+.4230E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;26-9-2012;3480;+.3480E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;21-11-2012;5710;+.5710E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;17-1-2013;5570;+.5570E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;14-3-2013;3990;+.3990E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;7-5-2013;4440;+.4440E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;4-7-2013;2600;+.2600E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;29-8-2013;2940;+.2940E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;24-10-2013;4580;+.4580E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;19-12-2013;4340;+.4340E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;13-2-2014;2550;+.2550E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;10-4-2014;5290;+.5290E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;5-6-2014;5340;+.5340E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;31-7-2014;3150;+.3150E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;25-9-2014;3840;+.3840E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;20-11-2014;5580;+.5580E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;15-1-2015;4540;+.4540E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;12-3-2015;3720;+.3720E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;7-5-2015;3580;+.3580E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;2-7-2015;3220;+.3220E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;27-8-2015;4470;+.4470E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;22-10-2015;4970;+.4970E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;tritium;H3;10028-17-8;mBq/l;Bepaling dmv vloeistof scintillatie telling;17-12-2015;4660;+.4660E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;18-1-2012;425;+.425E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;15-2-2012;1210;+.1210E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;14-3-2012;502;+.502E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;11-4-2012;1530;+.1530E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;9-5-2012;533;+.533E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;6-6-2012;843;+.843E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;4-7-2012;909;+.909E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;1-8-2012;1040;+.1040E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;29-8-2012;1830;+.1830E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;26-9-2012;1140;+.1140E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;24-10-2012;589;+.589E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;21-11-2012;621;+.621E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;19-12-2012;191;+.191E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;17-1-2013;608;+.608E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;14-2-2013;103;+.103E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;14-3-2013;827;+.827E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;11-4-2013;1050;+.1050E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;7-5-2013;675;+.675E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;6-6-2013;252;+.252E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;4-7-2013;704;+.704E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;1-8-2013;734;+.734E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;29-8-2013;1670;+.1670E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;26-9-2013;713;+.713E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;24-10-2013;954;+.954E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;21-11-2013;523;+.523E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;19-12-2013;682;+.682E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;16-1-2014;427;+.427E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;13-2-2014;251;+.251E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;13-3-2014;854;+.854E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;10-4-2014;1180;+.1180E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;8-5-2014;1440;+.1440E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;5-6-2014;1050;+.1050E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;3-7-2014;1420;+.1420E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;31-7-2014;974;+.974E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;28-8-2014;619;+.619E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;25-9-2014;1300;+.1300E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;23-10-2014;902;+.902E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;20-11-2014;759;+.759E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;18-12-2014;500;+.500E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;15-1-2015;152;+.152E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;12-2-2015;580;+.580E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;12-3-2015;529;+.529E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;13-4-2015;620;+.620E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;7-5-2015;580;+.580E+03;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;4-6-2015;1060;+.1060E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;2-7-2015;1280;+.1280E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;30-7-2015;1710;+.1710E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;27-8-2015;1910;+.1910E+04;Normale waarde;Pomp
Maassluis;MAASSS;Activiteitsconcentratie;ACTVTCCTTE;kalium 40;K40;13966-00-2;mBq/l;Bepaling (rest)BETA act.conc. niet vluchtige bestanddelen;24-9-2015;1650;+.1650E+04;Normale waarde;Pomp
